GAME_DATE_EST,HOME_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,NICKNAME
2022-03-04,1610612740,2021,124.0,0.515,0.765,0.306,29.0,52.0,1610612762,90.0,0.348,0.654,0.268,15.0,52.0,1,1610612740,Pelicans
2022-03-02,1610612740,2021,125.0,0.591,0.833,0.379,30.0,50.0,1610612758,95.0,0.393,0.68,0.229,20.0,38.0,1,1610612740,Pelicans
2022-02-17,1610612740,2021,118.0,0.5,0.667,0.429,22.0,48.0,1610612742,125.0,0.537,0.72,0.475,18.0,38.0,0,1610612740,Pelicans
2022-02-15,1610612740,2021,109.0,0.5,0.85,0.154,20.0,34.0,1610612763,121.0,0.5,0.63,0.294,29.0,49.0,0,1610612740,Pelicans
2022-02-14,1610612740,2021,120.0,0.584,0.875,0.457,36.0,47.0,1610612761,90.0,0.305,0.774,0.235,8.0,44.0,1,1610612740,Pelicans
2022-02-12,1610612740,2021,114.0,0.494,0.85,0.344,22.0,46.0,1610612759,124.0,0.505,0.842,0.378,26.0,34.0,0,1610612740,Pelicans
2022-02-10,1610612740,2021,97.0,0.424,0.875,0.268,19.0,39.0,1610612748,112.0,0.481,0.857,0.313,25.0,43.0,0,1610612740,Pelicans
2022-02-08,1610612740,2021,110.0,0.525,0.9,0.25,27.0,43.0,1610612745,97.0,0.372,0.645,0.31,19.0,47.0,1,1610612740,Pelicans
2022-01-29,1610612740,2021,97.0,0.439,0.739,0.25,22.0,40.0,1610612738,107.0,0.531,0.636,0.341,31.0,43.0,0,1610612740,Pelicans
2022-01-28,1610612740,2021,105.0,0.389,0.909,0.147,23.0,43.0,1610612743,116.0,0.5,0.88,0.364,29.0,43.0,0,1610612740,Pelicans
2022-01-24,1610612740,2021,117.0,0.466,0.935,0.2,23.0,45.0,1610612754,113.0,0.437,0.72,0.413,26.0,41.0,1,1610612740,Pelicans
2022-01-13,1610612740,2021,113.0,0.443,0.813,0.359,23.0,57.0,1610612746,89.0,0.383,0.85,0.294,19.0,46.0,1,1610612740,Pelicans
2022-01-11,1610612740,2021,128.0,0.553,0.757,0.485,33.0,38.0,1610612750,125.0,0.488,0.742,0.462,27.0,32.0,1,1610612740,Pelicans
2022-01-06,1610612740,2021,101.0,0.422,0.793,0.235,20.0,46.0,1610612744,96.0,0.425,0.833,0.212,22.0,43.0,1,1610612740,Pelicans
2022-01-04,1610612740,2021,110.0,0.404,0.875,0.303,28.0,48.0,1610612756,123.0,0.541,0.7,0.548,32.0,42.0,0,1610612740,Pelicans
2022-01-03,1610612740,2021,104.0,0.402,0.636,0.261,21.0,47.0,1610612762,115.0,0.482,0.824,0.487,22.0,43.0,0,1610612740,Pelicans
2021-12-28,1610612740,2021,108.0,0.45,0.769,0.444,24.0,44.0,1610612739,104.0,0.42,0.842,0.341,27.0,42.0,1,1610612740,Pelicans
2021-12-21,1610612740,2021,111.0,0.525,0.833,0.364,27.0,44.0,1610612757,97.0,0.449,0.737,0.382,18.0,31.0,1,1610612740,Pelicans
2021-12-17,1610612740,2021,116.0,0.472,0.633,0.351,34.0,57.0,1610612749,112.0,0.433,0.8,0.298,16.0,44.0,1,1610612740,Pelicans
2021-12-10,1610612740,2021,109.0,0.432,0.875,0.351,29.0,60.0,1610612765,93.0,0.389,0.917,0.324,22.0,38.0,1,1610612740,Pelicans
2021-12-08,1610612740,2021,114.0,0.522,0.75,0.367,32.0,46.0,1610612743,120.0,0.511,0.778,0.281,28.0,33.0,0,1610612740,Pelicans
2021-12-01,1610612740,2021,107.0,0.449,0.875,0.351,22.0,32.0,1610612742,139.0,0.687,0.778,0.529,32.0,34.0,0,1610612740,Pelicans
2021-11-24,1610612740,2021,127.0,0.458,0.844,0.414,33.0,52.0,1610612764,102.0,0.429,0.639,0.226,23.0,45.0,1,1610612740,Pelicans
2021-11-22,1610612740,2021,96.0,0.42,0.889,0.188,24.0,48.0,1610612750,110.0,0.4,0.714,0.227,21.0,49.0,0,1610612740,Pelicans
2021-11-19,1610612740,2021,94.0,0.437,0.625,0.433,19.0,55.0,1610612746,81.0,0.378,0.8,0.243,22.0,43.0,1,1610612740,Pelicans
2021-11-13,1610612740,2021,112.0,0.481,0.88,0.483,29.0,37.0,1610612763,101.0,0.432,0.81,0.333,21.0,39.0,1,1610612740,Pelicans
2021-11-12,1610612740,2021,112.0,0.489,0.813,0.406,26.0,43.0,1610612751,120.0,0.5,0.741,0.529,27.0,34.0,0,1610612740,Pelicans
