,game_id,avg_pts,avg_fg_pct,avg_ft_pct,avg_fg3_pct,avg_ast,avg_reb,delta_pts,delta_fg_pct,delta_ft_pct,delta_fg3_pct,delta_ast,delta_reb,home_team_id,visitor_team_id,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,date,total1,hit_over
0,21200020,84.0,0.465,0.846,0.35,18.0,41.0,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612752,1610612748,104.0,0.429,0.867,0.528,27.0,41.0,84.0,0.465,0.846,0.35,18.0,41.0,2012-11-02,198.5,0
1,21200030,84.0,0.465,0.846,0.35,18.0,41.0,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612748,1610612743,119.0,0.518,0.852,0.4,26.0,32.0,116.0,0.516,0.65,0.238,13.0,47.0,2012-11-03,199.0,1
2,21200044,101.5,0.49150000000000005,0.849,0.375,22.0,36.5,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612748,1610612756,124.0,0.547,0.789,0.5770000000000001,33.0,49.0,99.0,0.3979999999999999,0.759,0.3329999999999999,22.0,38.0,2012-11-05,202.5,1
3,21200056,109.0,0.5100000000000001,0.8290000000000001,0.4423333333333333,25.666666666666668,40.666666666666664,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612748,1610612751,103.0,0.519,0.813,0.417,25.0,40.0,73.0,0.375,0.588,0.143,12.0,40.0,2012-11-07,207.0,0
4,21200072,107.5,0.5122500000000001,0.825,0.436,25.5,40.5,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612737,1610612748,89.0,0.42,0.75,0.36,20.0,36.0,95.0,0.487,0.875,0.318,22.0,36.0,2012-11-09,197.5,0
5,21200092,110.25,0.51775,0.8322499999999999,0.42800000000000005,26.5,39.25,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612763,1610612748,104.0,0.442,0.875,0.583,26.0,43.0,86.0,0.38,0.611,0.267,18.0,43.0,2012-11-11,193.5,0
6,21200099,102.0,0.48325,0.772,0.39475000000000005,24.5,42.0,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612745,1610612748,110.0,0.45,0.7879999999999999,0.353,25.0,40.0,113.0,0.506,0.65,0.476,26.0,44.0,2012-11-12,194.5,1
7,21200117,99.25,0.47300000000000003,0.73725,0.36950000000000005,22.75,40.75,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612746,1610612748,107.0,0.486,0.8440000000000001,0.476,22.0,38.0,100.0,0.455,0.7240000000000001,0.429,22.0,36.0,2012-11-14,197.0,1
8,21200121,98.5,0.457,0.7150000000000001,0.3725,22.0,39.75,0.19047619047619047,-0.021505376344086002,-0.14420803782505898,0.22571428571428576,0.22222222222222232,-0.12195121951219512,1610612743,1610612748,93.0,0.42,0.684,0.3,19.0,48.0,98.0,0.4679999999999999,0.813,0.481,24.0,29.0,2012-11-15,202.0,0
9,21200138,98.4,0.45919999999999994,0.7346,0.3942,22.4,37.6,-0.17647058823529416,-0.09652509652509667,-0.045774647887323994,0.2024999999999999,-0.07692307692307687,-0.09375,1610612756,1610612748,88.0,0.43,0.7140000000000001,0.278,16.0,38.0,97.0,0.535,0.684,0.421,20.0,36.0,2012-11-17,203.0,0
10,21200163,98.8,0.4688,0.6964,0.41479999999999995,22.0,37.6,-0.217741935483871,-0.021937842778793404,-0.13307984790874516,-0.2703639514731371,-0.3939393939393939,-0.26530612244897955,1610612748,1610612749,113.0,0.477,0.6970000000000001,0.444,25.0,54.0,106.0,0.422,0.75,0.172,18.0,47.0,2012-11-21,203.5,1
11,21200186,102.66666666666667,0.49333333333333335,0.7313333333333333,0.4486666666666667,23.0,39.666666666666664,0.09708737864077666,-0.08092485549132955,-0.142681426814268,0.06474820143884896,0.0,0.3500000000000001,1610612748,1610612739,110.0,0.522,0.784,0.474,21.0,39.0,108.0,0.4429999999999999,0.727,0.452,21.0,32.0,2012-11-24,197.5,1
12,21200220,111.5,0.4995,0.7405,0.45899999999999996,23.0,46.5,0.1578947368421053,0.07186858316221767,-0.10399999999999998,0.49056603773584895,-0.045454545454545414,0.08333333333333326,1610612748,1610612759,105.0,0.488,0.8420000000000001,0.385,22.0,37.0,100.0,0.45,0.75,0.3329999999999999,22.0,45.0,2012-11-29,202.0,1
13,21200233,107.5,0.505,0.8130000000000001,0.4295,21.5,38.0,0.22093023255813948,0.28421052631578947,0.3780687397708675,0.44194756554307113,0.22222222222222232,-0.13953488372093026,1610612748,1610612751,102.0,0.513,0.789,0.35,20.0,35.0,89.0,0.44,0.63,0.214,20.0,38.0,2012-12-01,192.5,0
14,21200252,103.5,0.5005,0.8155000000000001,0.3675,21.0,36.0,-0.09734513274336287,0.01383399209486158,0.2138461538461538,-0.26470588235294124,-0.23076923076923073,-0.20454545454545459,1610612764,1610612748,105.0,0.481,0.759,0.368,31.0,44.0,101.0,0.461,0.688,0.286,27.0,43.0,2012-12-04,194.5,1
