game_id,home_team_id,visitor_team_id,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,date,total1,hit_over,avg_pts_1,avg_fg_pct_1,avg_ft_pct_1,avg_fg3_pct_1,avg_ast_1,avg_reb_1,delta_pts_1,delta_fg_pct_1,delta_ft_pct_1,delta_fg3_pct_1,delta_ast_1,delta_reb_1,avg_pts_2,avg_fg_pct_2,avg_ft_pct_2,avg_fg3_pct_2,avg_ast_2,avg_reb_2,delta_pts_2,delta_fg_pct_2,delta_ft_pct_2,delta_fg3_pct_2,delta_ast_2,delta_reb_2
21200025,1610612747,1610612746,95.0,0.5,0.7140000000000001,0.4379999999999999,15.0,38.0,105.0,0.452,0.778,0.364,24.0,37.0,2012-11-02,192.0,1,105.0,0.452,0.778,0.364,24.0,37.0,-0.038095238095238,0.0907079646017698,-0.057840616966581,-0.14010989010989,-0.125,0.1081081081081081,95.0,0.5,0.7140000000000001,0.4379999999999999,15.0,38.0,0.2526315789473683,0.082,-0.0994397759103642,0.0273972602739729,0.8,0.0789473684210526
21200026,1610612744,1610612763,94.0,0.45,0.706,0.5,21.0,36.0,104.0,0.455,0.8240000000000001,0.462,22.0,40.0,2012-11-02,191.5,1,104.0,0.455,0.8240000000000001,0.462,22.0,40.0,-0.0961538461538461,-0.1472527472527475,0.0703883495145629,-0.6904761904761905,-0.2272727272727273,0.1,94.0,0.45,0.706,0.5,21.0,36.0,0.127659574468085,0.1244444444444443,-0.0198300283286118,-0.734,0.0,0.3888888888888888
21200021,1610612740,1610612762,88.0,0.457,0.643,0.357,23.0,42.0,86.0,0.412,0.5,0.357,19.0,44.0,2012-11-02,191.0,0,86.0,0.412,0.5,0.357,19.0,44.0,0.0813953488372092,-0.024271844660194,0.4280000000000001,0.3081232492997201,-0.0526315789473684,0.0909090909090908,88.0,0.457,0.643,0.357,23.0,42.0,-0.0909090909090909,-0.0809628008752736,0.0373250388802488,0.2436974789915966,-0.3043478260869565,-0.1428571428571429
21200027,1610612764,1610612738,86.0,0.436,0.706,0.3,20.0,46.0,89.0,0.429,0.6920000000000001,0.381,24.0,35.0,2012-11-03,191.0,0,86.0,0.436,0.706,0.3,20.0,46.0,0.0348837209302326,-0.1834862385321101,0.0509915014164306,-0.2166666666666666,-0.35,-0.217391304347826,88.0,0.446,0.81,0.357,22.0,36.0,0.1022727272727272,0.047085201793722,-0.0123456790123457,0.5070028011204479,-0.2272727272727273,0.2222222222222223
21200028,1610612754,1610612758,106.0,0.3939999999999999,0.889,0.182,16.0,67.0,98.0,0.363,0.8,0.364,19.0,47.0,2012-11-03,189.0,1,89.0,0.3979999999999999,0.593,0.2689999999999999,19.0,52.0,-0.0449438202247191,-0.0577889447236178,0.087689713322091,-0.0706319702602227,0.0,0.0192307692307691,80.0,0.36,0.813,0.188,17.0,43.0,0.1999999999999999,0.2749999999999997,-0.1217712177121769,1.127659574468085,0.4705882352941177,-0.1395348837209302
21200029,1610612751,1610612761,107.0,0.457,0.73,0.4,20.0,41.0,100.0,0.451,0.76,0.389,23.0,37.0,2012-11-03,194.0,1,100.0,0.451,0.76,0.389,23.0,37.0,-0.1099999999999999,-0.048780487804878,-0.1092105263157894,-0.06426735218509,-0.0434782608695651,-0.054054054054054,107.0,0.457,0.73,0.4,20.0,41.0,-0.0747663551401869,0.0503282275711158,0.2054794520547944,-0.2650000000000001,0.1,-0.1951219512195121
21200030,1610612748,1610612743,119.0,0.518,0.852,0.4,26.0,32.0,116.0,0.516,0.65,0.238,13.0,47.0,2012-11-03,199.0,1,84.0,0.465,0.846,0.35,18.0,41.0,0.1904761904761904,-0.021505376344086,-0.1442080378250589,0.2257142857142857,0.2222222222222223,-0.1219512195121951,89.0,0.381,0.667,0.2689999999999999,22.0,45.0,0.0449438202247192,0.1023622047244094,0.025487256371814,0.1152416356877326,-0.1363636363636363,0.0666666666666666
21200031,1610612741,1610612740,82.0,0.33,0.84,0.176,21.0,41.0,89.0,0.4270000000000001,0.87,0.278,13.0,44.0,2012-11-03,181.5,0,115.0,0.638,0.767,0.4,34.0,41.0,-0.3043478260869565,-0.4717868338557993,0.0664928292046935,-0.6425000000000001,-0.4705882352941176,0.0975609756097561,88.0,0.457,0.643,0.357,23.0,42.0,-0.0909090909090909,-0.0809628008752736,0.0373250388802488,0.2436974789915966,-0.3043478260869565,-0.1428571428571429
21200034,1610612742,1610612766,126.0,0.613,0.8,0.64,31.0,43.0,99.0,0.429,0.75,0.176,19.0,38.0,2012-11-03,187.0,1,90.0,0.365,0.875,0.368,18.0,41.0,-0.0333333333333333,0.0301369863013698,-0.2239999999999999,-0.1630434782608695,-0.0555555555555555,0.1219512195121952,126.0,0.613,0.8,0.64,31.0,43.0,-0.3412698412698413,-0.396411092985318,0.0499999999999998,-0.759375,-0.4838709677419355,0.0232558139534884
21200033,1610612749,1610612739,105.0,0.519,0.667,0.375,32.0,37.0,102.0,0.47,0.621,0.375,19.0,42.0,2012-11-03,198.0,1,99.0,0.465,0.917,0.444,26.0,46.0,0.1818181818181818,-0.0064516129032258,-0.1821155943293347,0.1711711711711712,0.0769230769230768,-0.108695652173913,86.0,0.405,0.519,0.4,23.0,33.0,0.1046511627906976,-0.0740740740740741,0.4450867052023122,-0.2,-0.0869565217391304,0.1515151515151516
