,game_id,home_team_id,visitor_team_id,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,date,total1,hit_over
380,21200050,1610612741,1610612753,99.0,0.476,0.708,0.3329999999999999,27.0,43.0,93.0,0.419,0.765,0.421,23.0,43.0,2012-11-06,187.0,1
390,21200057,1610612749,1610612763,90.0,0.385,0.667,0.4,22.0,41.0,108.0,0.53,0.737,0.375,28.0,49.0,2012-11-07,197.5,1
400,21200054,1610612738,1610612764,100.0,0.42,0.8240000000000001,0.308,26.0,44.0,94.0,0.411,0.857,0.345,25.0,44.0,2012-11-07,186.0,1
410,21200055,1610612737,1610612754,89.0,0.4370000000000001,0.5,0.318,24.0,51.0,86.0,0.412,0.889,0.308,18.0,41.0,2012-11-07,191.5,0
420,21200056,1610612748,1610612751,103.0,0.519,0.813,0.417,25.0,40.0,73.0,0.375,0.588,0.143,12.0,40.0,2012-11-07,207.0,0
430,21200053,1610612766,1610612756,110.0,0.4370000000000001,0.889,0.455,26.0,39.0,117.0,0.462,0.679,0.444,29.0,50.0,2012-11-07,193.5,1
440,21200058,1610612740,1610612755,62.0,0.3329999999999999,0.75,0.211,18.0,47.0,77.0,0.417,0.6,0.182,19.0,43.0,2012-11-07,179.0,0
450,21200062,1610612762,1610612747,95.0,0.446,0.889,0.294,21.0,37.0,86.0,0.3379999999999999,0.696,0.174,11.0,48.0,2012-11-07,198.0,0
460,21200060,1610612750,1610612753,90.0,0.447,0.682,0.35,22.0,46.0,75.0,0.35,0.8,0.25,17.0,41.0,2012-11-07,194.0,0
470,21200061,1610612742,1610612761,109.0,0.4639999999999999,0.657,0.381,21.0,47.0,104.0,0.444,0.871,0.2269999999999999,21.0,38.0,2012-11-07,197.0,1
480,21200063,1610612758,1610612765,105.0,0.488,0.75,0.4379999999999999,15.0,42.0,103.0,0.493,0.742,0.364,23.0,33.0,2012-11-07,192.5,1
490,21200064,1610612746,1610612759,106.0,0.5539999999999999,0.889,0.353,30.0,46.0,84.0,0.411,0.667,0.348,25.0,29.0,2012-11-07,204.5,0
500,21200065,1610612744,1610612739,106.0,0.5379999999999999,0.7390000000000001,0.278,28.0,44.0,96.0,0.419,0.619,0.344,20.0,39.0,2012-11-07,201.0,1
510,21200059,1610612745,1610612743,87.0,0.369,0.7390000000000001,0.242,18.0,43.0,93.0,0.451,0.5710000000000001,0.389,20.0,49.0,2012-11-07,204.0,0
520,21200067,1610612757,1610612746,90.0,0.4270000000000001,0.633,0.35,19.0,31.0,103.0,0.532,0.72,0.231,20.0,44.0,2012-11-08,201.0,0
530,21200066,1610612741,1610612760,91.0,0.417,0.889,0.3329999999999999,22.0,41.0,97.0,0.493,0.952,0.385,23.0,38.0,2012-11-08,190.5,0
540,21200072,1610612737,1610612748,89.0,0.42,0.75,0.36,20.0,36.0,95.0,0.487,0.875,0.318,22.0,36.0,2012-11-09,197.5,0
550,21200068,1610612764,1610612749,91.0,0.436,0.8640000000000001,0.222,23.0,36.0,101.0,0.513,0.789,0.4,21.0,38.0,2012-11-09,192.5,0
560,21200069,1610612753,1610612751,68.0,0.429,0.5,0.364,19.0,35.0,107.0,0.5,0.64,0.391,21.0,48.0,2012-11-09,195.0,0
570,21200070,1610612738,1610612755,100.0,0.487,0.71,0.4,31.0,31.0,106.0,0.488,0.826,0.5379999999999999,27.0,38.0,2012-11-09,180.0,1
580,21200071,1610612752,1610612742,104.0,0.417,0.684,0.364,17.0,43.0,94.0,0.407,0.87,0.286,17.0,50.0,2012-11-09,198.0,0
590,21200074,1610612740,1610612766,107.0,0.518,0.619,0.364,29.0,40.0,99.0,0.482,0.667,0.3329999999999999,17.0,41.0,2012-11-09,181.0,1
600,21200073,1610612763,1610612745,93.0,0.3720000000000001,0.7390000000000001,0.316,16.0,40.0,85.0,0.408,0.933,0.3329999999999999,17.0,41.0,2012-11-09,194.0,0
610,21200075,1610612760,1610612765,105.0,0.535,0.8079999999999999,0.4,21.0,38.0,94.0,0.414,0.727,0.316,24.0,41.0,2012-11-09,197.0,1
620,21200076,1610612750,1610612754,96.0,0.5,0.857,0.222,23.0,34.0,94.0,0.44,0.882,0.278,18.0,37.0,2012-11-09,183.5,1
630,21200077,1610612756,1610612739,107.0,0.469,0.758,0.353,21.0,42.0,105.0,0.481,0.815,0.429,19.0,39.0,2012-11-09,201.0,1
